"Trust Code","Trust Name","efficiency_vrs","efficiency_category","recommendation"
"RTQ","GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST",0.242560023421628,"Low efficiency","Significant resource reallocation required"
"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.246514471022256,"Low efficiency","Significant resource reallocation required"
"RWY","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",0.25935458715382,"Low efficiency","Significant resource reallocation required"
"RYF","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST",0.272778705066816,"Low efficiency","Significant resource reallocation required"
"RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST",0.281619938002437,"Low efficiency","Significant resource reallocation required"
"REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST",0.28293380981503,"Low efficiency","Significant resource reallocation required"
"RKE","WHITTINGTON HEALTH NHS TRUST",0.295925122512518,"Low efficiency","Significant resource reallocation required"
"RP5","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",0.333046602938112,"Low efficiency","Significant resource reallocation required"
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",0.346427071415837,"Low efficiency","Significant resource reallocation required"
"RTG","UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",0.365689636933742,"Low efficiency","Significant resource reallocation required"
"RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.401949276070776,"Low efficiency","Significant resource reallocation required"
"RLT","GEORGE ELIOT HOSPITAL NHS TRUST",0.416562713152172,"Low efficiency","Significant resource reallocation required"
"RRE","MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST",0.425382405865408,"Low efficiency","Significant resource reallocation required"
"RMP","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",0.452546851850728,"Low efficiency","Significant resource reallocation required"
"RY3","NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST",0.468195122227128,"Low efficiency","Significant resource reallocation required"
"RV9","HUMBER TEACHING NHS FOUNDATION TRUST",0.490921705756931,"Low efficiency","Significant resource reallocation required"
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST",NA,"Low efficiency","Significant resource reallocation required"
