"Trust Code","Trust Name","efficiency_vrs","efficiency_vrs_weighted","impact_of_weighting"
"RJC","SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST",0.0541947655360034,0.0541947655360034,0
"R0B","SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",0.0541344290832153,0.0541344290832153,0
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST",0.0535640327811904,0.0535640327811904,0
"RBT","THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",0.0523563131603591,0.0523563131603591,0
"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST",0.0522313959055719,0.0522313959055719,0
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0.0500780347068329,0.0500780347068329,0
"RTK","ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST",0.0499448150959938,0.0499448150959938,0
"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST",0.0494002163758455,0.0494002163758455,0
"R1A","HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST",0.0492746042835825,0.0492746042835825,0
"RBN","MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST",0.049269097816865,0.049269097816865,0
"RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",0.0492148361490844,0.0492148361490844,0
"RWG","WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",0.0490257863271904,0.0490257863271904,0
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST",0.0483356881156047,0.0483356881156047,0
"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",0.046663024414057,0.046663024414057,0
"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0463590925586853,0.0463590925586853,0
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",0.0461718239835998,0.0461718239835998,0
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",0.0458171113589634,0.0458171113589634,0
"RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0445804259650206,0.0445804259650206,0
"RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",0.044370733306832,0.044370733306832,0
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",0.0402360045699326,0.0402360045699326,0
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.0395954774151598,0.0395954774151598,0
"RXF","MID YORKSHIRE TEACHING NHS TRUST",0.0389067979033918,0.0389067979033918,0
"RVV","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",0.0388091166519818,0.0388091166519818,0
