"Trust","Efficiency","ProfitLoss","ScaleEfficiency","WeightedScore"
"BOLTON NHS FOUNDATION TRUST",0.189660361020373,0.915362367736494,0.521700118774727,0.47377891458608
"MERSEY CARE NHS FOUNDATION TRUST",0.0115968442427872,0.922889461794138,0.947198704289887,0.472105001517612
"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",0.0367255948083278,0.939007630739589,0.850870049270055,0.470239096480052
"STOCKPORT NHS FOUNDATION TRUST",0.0179275622833711,0.924271492767183,0.919149290097097,0.47007508699126
"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",0.133247086453292,0.69003770850103,0.980290010016812,0.469692857780317
"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",0.0506748538656387,0.842078608799247,0.937932249951095,0.465547459562812
"OXLEAS NHS FOUNDATION TRUST",0.0965764302427931,0.742806702549189,0.971771869454292,0.465484599777012
"ROYAL BERKSHIRE NHS FOUNDATION TRUST",0.0163653078560563,0.938851568593562,0.875324319911197,0.464902988488336
"THE ROYAL WOLVERHAMPTON NHS TRUST",0.0557932566533672,0.798832090612501,0.979312246737469,0.463408704857928
"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0.0466036229185123,0.857345912748,0.914185859297223,0.463342757143101
"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",0.0331692262837093,0.882561159802975,0.907108678098485,0.462774696702444
"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",0.042871078456794,0.926836242700764,0.81100702797018,0.461687817632662
"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",0.0681995205866595,0.805078967142648,0.929872873775698,0.461598025191264
"MEDWAY NHS FOUNDATION TRUST",0.0510926237670202,0.940168181458599,0.748247363857697,0.457246239092629
"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",0.0287678170545255,0.846885162431425,0.941558865167318,0.456761230290154
"PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST",0.00913246417810772,0.937774346203342,0.849601707405824,0.455818877431221
"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",0.0352934879393644,0.943565172286279,0.768731678872946,0.454462631430155
"WALSALL HEALTHCARE NHS TRUST",0.0636906935299937,0.784187139986399,0.935124400273249,0.454126368815566
"NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.0360827248768022,0.788072185909785,0.99418628989507,0.453300276190351
"BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST",0.0219533654980877,0.813008298857159,0.990665047417002,0.453012181889592
"HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST",0.0457972538874229,0.773209166500273,0.988646121621029,0.452590601217999
"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",0.0551980675965186,0.755543750322905,0.988037620505812,0.451869682996293
"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",0.0107439690959916,0.882546743180814,0.906109914895758,0.451357990481392
"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",0.0801778163750981,0.750786069166202,0.927541418888916,0.450833012715193
"MID YORKSHIRE TEACHING NHS TRUST",0.0353915264673757,0.892242850261975,0.817405131402155,0.448849644592711
"BARTS HEALTH NHS TRUST",0.100279916067824,0.664367169103428,0.99101637762491,0.447653384289922
"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.201617959868096,0.532973942062843,0.928382396907231,0.446377641934347
"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",0.183423675524362,0.603950712942398,0.86343260411186,0.445583572467273
"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",0.0130125511381429,0.914998389090936,0.819738943888302,0.444953581074013
"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",0.0169134753308159,0.901121619521638,0.828294334733749,0.444452090468649
"YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0410859062548727,0.845696978800351,0.849175574550073,0.444087161677556
"GATESHEAD HEALTH NHS FOUNDATION TRUST",0.0323109477076696,0.867224906242363,0.837335282942319,0.443790002315007
"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0203226764960464,0.84291804536935,0.902288990888086,0.443494550036446
"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",0.0190185896561211,0.819961817304553,0.936287281684535,0.442755296356333
"CAMDEN AND ISLINGTON NHS FOUNDATION TRUST",0.0323619284831919,0.771637306139549,0.975320460369083,0.442736248157277
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",0.028783520697564,0.921505099649499,0.759139873705237,0.442671264984679
"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",0.0249512537429402,0.79347745263669,0.960376883072642,0.442594239277005
"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",0.0107719560362255,0.867548073591183,0.880789122124277,0.441808224520323
"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",0.00742574219725184,0.82279872046603,0.949070206806019,0.440366528599639
"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",0.0206605629021504,0.807200623899856,0.939345578089233,0.440359584238879
"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",0.00552664701696672,0.937186265525398,0.77040303354817,0.437999809875737
"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",0.0933111974191137,0.821494256226941,0.713503487082984,0.435804572994236
"WEST LONDON NHS TRUST",0.0330110187778819,0.734252825326273,0.971380720239198,0.431057501034662
"SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST",0.0507354110035889,0.789544785110391,0.829286265677518,0.428088394170415
"SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST",0.030318517707055,0.759301295690442,0.922151963060865,0.427380040172833
"BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST",0.1449136457091,0.841274923177788,0.498335731834328,0.424506446174752
"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",0.0209018423855402,0.746751120696529,0.939239623305885,0.422324182062906
"UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",0.0126873509623734,0.955319981856536,0.629951991890435,0.418930068416234
"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",0.0457372671464301,0.762265111876715,0.836732202345484,0.418894607605326
"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",0.00832511940826081,0.956541294657904,0.605229955645005,0.412170939230503
"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",0.0729597387548078,0.886280155552447,0.53988393976755,0.410340703996648
"HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",0.0431761219660275,0.628196900178588,0.999999999997375,0.410047131036065
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.0338713466033756,0.706438126100412,0.903361522254872,0.409539415582786
"GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST",0.0501023712957853,0.742062622900598,0.797479124957514,0.407165797509575
"EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST",0.114032246440931,0.658254849819292,0.755194371117421,0.405531452389738
"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",0.0111149275012894,0.792734219538218,0.80991936081837,0.405361601775784
"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.00244398325122071,0.942063051229688,0.596232021517442,0.403087311298005
"THE LEWISHAM AND GREENWICH NHS TRUST",0.089637471635658,0.719568011034162,0.700899909376926,0.400869121003463
"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",0.0246474730435258,0.673048932252022,0.910774778584448,0.396393371914259
"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",0,0.821873693888463,0.734815588504568,0.393525225867452
"KINGSTON HOSPITAL NHS FOUNDATION TRUST",0.0228112472609887,0.696154551142512,0.865546392958646,0.393361267564977
"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",0.00871417539765942,0.717519334478181,0.845860057660488,0.388784899574382
"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",0.0050420836677152,0.820907729663393,0.693678771026395,0.387529114938154
"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",0.0120874899479433,0.729276437314802,0.811085515554971,0.387043779279407
"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0.0700035396774898,0.624795272277873,0.821803116033758,0.386800974728858
"CROYDON HEALTH SERVICES NHS TRUST",0.0126902653130012,0.726132015346614,0.797699082088203,0.383724553678126
"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",0.00744325526382138,0.816361231173468,0.654057514872713,0.379441499958494
"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0.0798593187706516,0.503739262412001,0.931861679355799,0.377423773980086
"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",0.00867512064590127,0.770100552338574,0.664675257217676,0.368302777468058
"THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST",0.0629258943348146,0.46202246660622,0.988599508588552,0.367789588866984
"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.0147317871764832,0.726757420040214,0.699526902153889,0.365298500031084
"ROYAL FREE LONDON NHS FOUNDATION TRUST",0.0348098316992478,0.6838933845684,0.703218139502282,0.3632165591206
"WEST SUFFOLK NHS FOUNDATION TRUST",0.052262555264203,0.55291122078554,0.845131950495066,0.361031033966777
"WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",0.0455475258604435,0.616199617174874,0.74346548059948,0.35632674420258
"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.00885432309878484,0.745423167850432,0.587392555133799,0.345532622931282
"LEEDS TEACHING HOSPITALS NHS TRUST",0.00556333207223556,0.867233258027857,0.257573474255407,0.314466338295556
"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",0.0267116401114963,0.39880065075192,0.894881515043501,0.311972318290024
"NORTH WEST ANGLIA NHS FOUNDATION TRUST",0.0132975342495019,0.531106269293683,0.691704860808328,0.304321620074521
"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",0.0233456994187817,0.507169698286885,0.680301213871653,0.299884001969787
"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",0.00745791170284405,0.437514556397693,0.690192663569863,0.273021855484703
"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.0130879095405311,0.580657823267198,0.0408026070599755,0.18890182316242
"SUSSEX COMMUNITY NHS FOUNDATION TRUST",NA,0.935758179698912,NA,NA
